Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 1,financial crimes,Decision Tree,Train,0.9994713656387665,0.9991270656805842,1319,0.23242290748898678,0.9992412746585736,0.9984836997725549,0.9988623435722411
tier 1,financial crimes,Decision Tree,Validation,0.9389152185360716,0.932112005777439,446,0.23486045286993154,0.8367346938775511,0.9192825112107623,0.8760683760683761
tier 1,contempt of court,Decision Tree,Train,1.0,1.0,81,0.014273127753303964,1.0,1.0,1.0
tier 1,contempt of court,Decision Tree,Validation,0.9889415481832543,0.8254469068023568,32,0.01685097419694576,0.6774193548387096,0.65625,0.6666666666666666
tier 1,environmental crimes,Decision Tree,Train,1.0,1.0,180,0.03171806167400881,1.0,1.0,1.0
tier 1,environmental crimes,Decision Tree,Validation,0.9910479199578726,0.9303667745415318,45,0.023696682464454975,0.78,0.8666666666666667,0.8210526315789474
tier 1,criminal threats,Decision Tree,Train,0.9987665198237885,0.980922029262831,158,0.027841409691629956,0.9934640522875817,0.9620253164556962,0.977491961414791
tier 1,criminal threats,Decision Tree,Validation,0.9878883622959452,0.8751722499406035,69,0.036334913112164295,0.896551724137931,0.7536231884057971,0.8188976377952756
tier 1,traffic crimes,Decision Tree,Train,0.9998237885462555,0.997854077253219,233,0.04105726872246696,1.0,0.9957081545064378,0.9978494623655914
tier 1,traffic crimes,Decision Tree,Validation,0.9578725645076356,0.9072240557389073,81,0.04265402843601896,0.5036496350364964,0.8518518518518519,0.6330275229357798
tier 1,civil rights violation,Decision Tree,Train,1.0,1.0,10,0.001762114537444934,1.0,1.0,1.0
tier 1,civil rights violation,Decision Tree,Validation,0.9942074776197999,0.498416050686378,5,0.0026329647182727752,0.0,0.0,0.0
tier 1,violent crimes,Decision Tree,Train,0.9994713656387665,0.9986437613019892,1106,0.1948898678414097,1.0,0.9972875226039783,0.9986419194205522
tier 1,violent crimes,Decision Tree,Validation,0.9547130068457083,0.9431470894253532,358,0.1885202738283307,0.8487179487179487,0.9245810055865922,0.8850267379679144
tier 1,criminal tresspassing,Decision Tree,Train,1.0,1.0,291,0.05127753303964758,1.0,1.0,1.0
tier 1,criminal tresspassing,Decision Tree,Validation,0.9884149552395998,0.9327153216875648,93,0.04897314375987362,0.8901098901098901,0.8709677419354839,0.8804347826086957
tier 1,crimes against animals,Decision Tree,Train,1.0,1.0,412,0.07259911894273127,1.0,1.0,1.0
tier 1,crimes against animals,Decision Tree,Validation,0.981042654028436,0.9526182005569375,113,0.05950500263296472,0.7938931297709924,0.9203539823008849,0.8524590163934426
